Algorithm,Set,AGN completeness,non-AGN completeness,F1-score,Accuracy,Error,ROC AUC
Shallow Network,Train,0.9785909882997261,0.7791446983011131,0.8906090699694144,0.8792916666666667,0.1207083333333333,0.8788678433004196
Shallow Network,Validation,0.906748050186504,0.6450344149459194,0.7974947807933196,0.7736666666666666,0.2263333333333334,0.7758912325662116
ResNet,Train,0.8173595552236329,0.9827600636036489,0.8911204595829375,0.8997083333333333,0.10029166666666667,0.9000598094136409
ResNet,Validation,0.7226178365547643,0.9223205506391348,0.8015798382546548,0.8241666666666667,0.17583333333333329,0.8224691935969495
